iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
1090,0.0065326187,0.0096071695,0.0079848711,0.984284966,0.9773044693,0.9796089385,0.9114173228,0.870259481,0.8828250401,40.425638566
1100,0.0065320093,0.009611155,0.0079908394,0.984284966,0.9776536313,0.9796089385,0.9114173228,0.8725099602,0.8828250401,40.79363809
1110,0.006530477,0.0096131109,0.008002363,0.9841976602,0.9776536313,0.9798882682,0.9109690113,0.8725099602,0.8846153846,41.163155303
1120,0.0065277781,0.0096181887,0.0080085235,0.984284966,0.9780027933,0.9801675978,0.9115913556,0.8747514911,0.8864,41.53062151
1130,0.0065251027,0.0096234137,0.0080113361,0.9841976602,0.9773044693,0.9801675978,0.9110565111,0.8712871287,0.8864,41.897461269
1140,0.0065216852,0.0096254514,0.0080153344,0.984284966,0.9773044693,0.9804469274,0.9115913556,0.8712871287,0.8881789137,42.265042994
1150,0.0065200238,0.0096253,0.0080240111,0.9841976602,0.9776536313,0.9801675978,0.9110565111,0.8725099602,0.8864,42.633462112
1160,0.006517247,0.0096252508,0.0080310453,0.984284966,0.9776536313,0.9798882682,0.9115044248,0.8725099602,0.8846153846,43.012979933
1170,0.0065155431,0.009622062,0.0080363129,0.984284966,0.9776536313,0.9798882682,0.9115044248,0.8725099602,0.8846153846,43.380215071
1180,0.0065154491,0.0096194479,0.0080410642,0.9841976602,0.9780027933,0.9804469274,0.9110565111,0.8747514911,0.8881789137,43.7505452
1190,0.0065146468,0.0096218308,0.0080505237,0.984284966,0.9773044693,0.9798882682,0.9115044248,0.870259481,0.8846153846,44.143579829
1200,0.006512212,0.0096217348,0.00805232,0.9841976602,0.9773044693,0.9798882682,0.9109690113,0.870259481,0.8846153846,44.531913106
1210,0.0065105922,0.0096192444,0.0080509138,0.984284966,0.9776536313,0.9804469274,0.9115913556,0.873015873,0.8881789137,44.903562499
1220,0.0065101291,0.0096254836,0.0080598689,0.9841976602,0.9773044693,0.9801675978,0.9110565111,0.8707753479,0.8864,45.272418139
1230,0.0065079887,0.0096144437,0.0080689157,0.984284966,0.9776536313,0.9798882682,0.9115044248,0.873015873,0.8846153846,45.648514758
1240,0.0065039883,0.0096107685,0.0080779128,0.9843722717,0.9776536313,0.9798882682,0.912039312,0.873015873,0.8846153846,46.020277635
1250,0.0065012485,0.0096117078,0.0080848999,0.9843722717,0.9776536313,0.9798882682,0.912039312,0.873015873,0.8846153846,46.392727641
1260,0.0064994513,0.0096120911,0.0080880092,0.984284966,0.9776536313,0.9798882682,0.9115913556,0.873015873,0.8846153846,46.764682181
1270,0.006498207,0.0096147723,0.0080926284,0.9841976602,0.9773044693,0.9798882682,0.911143839,0.8707753479,0.8846153846,47.134928068
1280,0.0064968832,0.0096147905,0.0080924834,0.9841103545,0.9773044693,0.9798882682,0.9106967615,0.8707753479,0.8846153846,47.505083531
1290,0.0064969164,0.0096196783,0.0080938526,0.984284966,0.9773044693,0.9801675978,0.9116781158,0.8707753479,0.8864,47.877709797
1300,0.0064962223,0.0096154062,0.0080913469,0.9841976602,0.9773044693,0.9801675978,0.9112309956,0.8712871287,0.8864,48.250228498
1310,0.0064945916,0.0096181637,0.0080954482,0.9841103545,0.9769553073,0.9798882682,0.9106090373,0.869047619,0.8846153846,48.621805209
1320,0.0064927064,0.0096196553,0.008096002,0.9841976602,0.9773044693,0.9798882682,0.9112309956,0.8712871287,0.8846153846,48.992833311
1330,0.0064930223,0.0096233673,0.0080955212,0.9841976602,0.9769553073,0.9798882682,0.9112309956,0.869047619,0.8846153846,49.361783699
1340,0.0064891558,0.0096300203,0.0081033224,0.984284966,0.9769553073,0.9796089385,0.9116781158,0.869047619,0.8828250401,49.732408991
1350,0.0064895017,0.009632216,0.0081041674,0.984284966,0.9769553073,0.9796089385,0.9116781158,0.869047619,0.8828250401,50.102636743
1360,0.0064864711,0.0096419592,0.0081109917,0.984284966,0.9769553073,0.9796089385,0.9116781158,0.869047619,0.8828250401,50.470742443
1370,0.0064863728,0.0096429573,0.0081100631,0.9841103545,0.9769553073,0.9796089385,0.9107843137,0.869047619,0.8828250401,50.839773871
1380,0.0064845162,0.0096485387,0.0081135856,0.984284966,0.9769553073,0.9796089385,0.9116781158,0.869047619,0.8828250401,51.212701319
1390,0.0064836238,0.0096491376,0.0081133446,0.9841976602,0.9769553073,0.9796089385,0.9112309956,0.869047619,0.8828250401,51.585134451
1400,0.0064834927,0.0096513629,0.0081167555,0.9841976602,0.9769553073,0.9796089385,0.9112309956,0.869047619,0.8828250401,51.954533212
1410,0.0064828798,0.0096470424,0.008118242,0.9841976602,0.9769553073,0.9796089385,0.9112309956,0.869047619,0.8828250401,52.323595742
1420,0.0064814458,0.0096492879,0.0081192033,0.9841976602,0.9773044693,0.9796089385,0.9112309956,0.8712871287,0.8828250401,52.696317162
1430,0.0064790598,0.00964962,0.0081184537,0.9841976602,0.9776536313,0.9796089385,0.9112309956,0.8735177866,0.8828250401,53.069103622
1440,0.0064783403,0.0096520586,0.0081198881,0.9841976602,0.9773044693,0.9796089385,0.9112309956,0.8712871287,0.8828250401,53.441226128
1450,0.0064760337,0.0096556546,0.008123097,0.9841976602,0.9769553073,0.9796089385,0.9112309956,0.869047619,0.8828250401,53.81120494
